,County,State,Temp
748,DeKalb County, Illinois,77
749,Edwards County, Illinois,78.8
750,Jasper County, Illinois,78.8
751,Jefferson County, Illinois,52
752,Vermilion County, Illinois,46.4
753,Will County, Illinois,39.99
754,Williamson County, Illinois,84.99
755,Clark County, Illinois,60.01
756,Douglas County, Illinois,52
757,Effingham County, Illinois,78.8
758,Fulton County, Illinois,77
759,Greene County, Illinois,46.4
760,Hamilton County, Illinois,46.99
761,Hardin County, Illinois,80.6
762,Henry County, Illinois,77
763,Johnson County, Illinois,44.6
764,Knox County, Illinois,64.99
765,Lake County, Illinois,39.2
766,Livingston County, Illinois,37.4
767,Massac County, Illinois,66.2
768,Scott County, Illinois,36
769,Tazewell County, Illinois,45
770,Cass County, Illinois,37.4
771,Warren County, Illinois,46.99
772,Monroe County, Indiana,37.99
773,Fountain County, Indiana,45
774,Elkhart County, Indiana,39.2
775,Starke County, Indiana,39.99
776,Crawford County, Indiana,48
777,Cass County, Indiana,37.4
778,Greene County, Indiana,46.4
779,Marion County, Indiana,48
780,Wayne County, Indiana,37
781,Grant County, Indiana,37.4
782,LaSalle County, Illinois,39.99
783,Clay County, Indiana,82.4
784,Hendricks County, Indiana,44.01
785,Dubois County, Indiana,62.01
786,Franklin County, Indiana,51.01
787,Hancock County, Indiana,43
788,Jackson County, Indiana,51.01
789,Howard County, Indiana,41
790,Ohio County, Indiana,63
791,Owen County, Indiana,50
792,Parke County, Indiana,46.4
793,Randolph County, Indiana,48
794,Whitley County, Indiana,39.2
795,Benton County, Indiana,37.99
796,Brown County, Indiana,37
797,Clinton County, Indiana,37.99
798,Putnam County, Indiana,46.99
799,Union County, Indiana,51.01
800,Washington County, Indiana,50
801,Daviess County, Indiana,64.4
802,Dearborn County, Indiana,48
803,Henry County, Indiana,77
804,Knox County, Indiana,64.99
805,Lawrence County, Indiana,48
806,Madison County, Indiana,66.99
807,Perry County, Indiana,44.6
808,Pike County, Indiana,48.2
809,Pulaski County, Indiana,75.99
810,Posey County, Indiana,64.4
811,Steuben County, Indiana,45
812,Warren County, Indiana,46.99
813,Vermillion County, Indiana,46.4
814,Wells County, Indiana,39.99
815,Floyd County, Indiana,72
816,Allen County, Indiana,41
817,Decatur County, Indiana,45
818,Delaware County, Indiana,50
819,Miami County, Indiana,44.6
